4000	3980
4000	3986
4000	4017
4000	4021
4000	4026
4000	4030
4009	3980
4009	3981
4009	3982
4009	3994
4009	3997
4009	3998
4009	4019
4009	4023
4009	4030
3980	3981
3980	3982
3980	3986
3980	3994
3980	3997
3980	3998
3980	4017
3980	4018
3980	4019
3980	4021
3980	4023
3980	4026
3980	4030
3981	3994
3981	3997
3981	3998
3981	4018
3981	4019
3981	4023
3982	3994
3982	3997
3982	3998
3982	4023
3982	4030
4017	3986
4017	4021
4017	4026
4017	4030
3986	4021
3986	4026
3986	4030
4018	3994
4018	3997
4018	3998
4018	4023
4019	3994
4019	3997
4019	3998
4021	4026
4021	4030
3998	3994
3998	3997
3998	4023
4023	3994
4023	3997
4023	4030
4026	4030
3997	3994
3997	4030
4030	3994
